Gene_Symbol,Description,sample1,sample10,sample11,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample12,sample13,Mean_Coverage,Std_Coverage,Min_Coverage,Max_Coverage,Detected_Samples,Detection_Rate
RPS26,40S ribosomal protein S26 OS=Homo sapiens OX=9606 GN=RPS26 PE=1 SV=3,39.0,59.0,52.0,52.0,52.0,59.0,52.0,39.0,59.0,52.0,59.0,,,52.18181818181818,7.305041845440473,39.0,59.0,11,84.61538461538461
RPS19,40S ribosomal protein S19 OS=Homo sapiens OX=9606 GN=RPS19 PE=1 SV=2,69.0,77.0,76.0,66.0,46.0,77.0,78.0,79.0,76.0,69.0,80.0,30.0,,68.58333333333333,15.329462620797385,30.0,80.0,12,92.3076923076923
RPS14,40S ribosomal protein S14 OS=Homo sapiens OX=9606 GN=RPS14 PE=1 SV=3,43.0,43.0,43.0,43.0,42.0,43.0,43.0,43.0,43.0,43.0,43.0,20.0,,41.0,6.619530332144556,20.0,43.0,12,92.3076923076923
RPS25,40S ribosomal protein S25 OS=Homo sapiens OX=9606 GN=RPS25 PE=1 SV=1,50.0,55.0,50.0,48.0,42.0,57.0,55.0,62.0,50.0,48.0,50.0,25.0,,49.333333333333336,9.217900898235833,25.0,62.0,12,92.3076923076923
EIF3B,Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens OX=9606 GN=EIF3B PE=1 SV=3,18.0,7.0,24.0,4.0,,4.0,7.0,14.0,21.0,7.0,11.0,,,11.7,7.211872926716826,4.0,24.0,10,76.92307692307692
RPS4X,"40S ribosomal protein S4, X isoform OS=Homo sapiens OX=9606 GN=RPS4X PE=1 SV=2",48.0,72.0,73.0,66.0,41.0,62.0,76.0,78.0,77.0,67.0,71.0,12.0,,61.916666666666664,19.439689173222785,12.0,78.0,12,92.3076923076923
RPL5,60S ribosomal protein L5 OS=Homo sapiens OX=9606 GN=RPL5 PE=1 SV=3,14.0,56.0,25.0,42.0,35.0,52.0,58.0,62.0,27.0,43.0,64.0,,,43.45454545454545,16.61543641535567,14.0,64.0,11,84.61538461538461
EIF3G,Eukaryotic translation initiation factor 3 subunit G OS=Homo sapiens OX=9606 GN=EIF3G PE=1 SV=2,13.0,,39.0,,,,15.0,10.0,15.0,,,,,18.4,11.696153213770756,10.0,39.0,5,38.46153846153846
RPS5,40S ribosomal protein S5 OS=Homo sapiens OX=9606 GN=RPS5 PE=1 SV=4,46.0,46.0,46.0,41.0,33.0,46.0,46.0,46.0,46.0,46.0,48.0,15.0,,42.083333333333336,9.414286371190748,15.0,48.0,12,92.3076923076923
RPS9,40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9 PE=1 SV=3,62.0,63.0,58.0,58.0,9.0,63.0,63.0,65.0,66.0,62.0,65.0,,,57.63636363636363,16.335683195218543,9.0,66.0,11,84.61538461538461
RPL26,60S ribosomal protein L26 OS=Homo sapiens OX=9606 GN=RPL26 PE=1 SV=1,19.0,69.0,40.0,48.0,42.0,68.0,68.0,71.0,17.0,50.0,60.0,,,50.18181818181818,19.410400211320642,17.0,71.0,11,84.61538461538461
RPS3A,40S ribosomal protein S3a OS=Homo sapiens OX=9606 GN=RPS3A PE=1 SV=2,66.0,73.0,73.0,73.0,55.0,67.0,67.0,74.0,74.0,60.0,77.0,25.0,,65.33333333333333,14.2403609079222,25.0,77.0,12,92.3076923076923
RPS2,40S ribosomal protein S2 OS=Homo sapiens OX=9606 GN=RPS2 PE=1 SV=2,43.0,53.0,56.0,49.0,33.0,53.0,53.0,49.0,48.0,39.0,50.0,13.0,,44.916666666666664,12.011042898730796,13.0,56.0,12,92.3076923076923
RRBP1,Ribosome-binding protein 1 OS=Homo sapiens OX=9606 GN=RRBP1 PE=1 SV=5,2.0,,,,,,,2.0,,,,,,2.0,0.0,2.0,2.0,2,15.384615384615385
EIF3L,Eukaryotic translation initiation factor 3 subunit L OS=Homo sapiens OX=9606 GN=EIF3L PE=1 SV=1,25.0,11.0,33.0,13.0,,3.0,17.0,21.0,39.0,31.0,20.0,,,21.3,10.99545360592277,3.0,39.0,10,76.92307692307692
RPL11,60S ribosomal protein L11 OS=Homo sapiens OX=9606 GN=RPL11 PE=1 SV=2,15.0,42.0,25.0,29.0,35.0,48.0,49.0,50.0,15.0,39.0,49.0,13.0,,34.083333333333336,14.33659230039966,13.0,50.0,12,92.3076923076923
